AdmArea,District,EDU_NAME,OGE_SCORE,YEAR,global_id
Западный административный округ,район Кунцево,Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа-интернат № 11 «Московский дипломатический кадетский корпус»,33,2016-2017,797374781
Западный административный округ,район Кунцево,Частное учреждение средняя общеобразовательная школа «Олимп-Плюс»,6,2016-2017,797374846
Западный административный округ,Можайский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 384 имени Д.К. Корнеева»,57,2016-2017,797374901
Западный административный округ,район Ново-Переделкино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1018»,74,2016-2017,797374978
Западный административный округ,район Ново-Переделкино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1467»,87,2016-2017,797375039
Западный административный округ,район Ново-Переделкино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1596»,64,2016-2017,797375088
Западный административный округ,район Проспект Вернадского,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 323»,56,2016-2017,797375169
Западный административный округ,район Тропарёво-Никулино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Тропарево»,53,2016-2017,797375250
Западный административный округ,район Филёвский Парк,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Интеграл»,82,2016-2017,797375299
Западный административный округ,район Фили-Давыдково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 712»,44,2016-2017,797375359
Западный административный округ,район Фили-Давыдково,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московское среднее специальное училище олимпийского резерва № 2 (колледж)» Департамента физической культуры и спорта города Москвы»,24,2016-2017,797375418
Зеленоградский административный округ,район Крюково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1150 имени дважды Героя Советского Союза К.К. Рокоссовского»,85,2016-2017,797375463
Восточный административный округ,район Вешняки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1028»,68,2016-2017,797375529
Восточный административный округ,район Восточное Измайлово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1811 «Восточное Измайлово»,182,2016-2017,797375596
Восточный административный округ,район Гольяново,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1598»,154,2016-2017,797375682
Восточный административный округ,район Новогиреево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1324»,136,2016-2017,797375765
Восточный административный округ,район Новогиреево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2072»,55,2016-2017,797375836
Восточный административный округ,район Новокосино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2127»,156,2016-2017,797375897
Восточный административный округ,район Новокосино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2128 «Энергия»,54,2016-2017,797375962
Восточный административный округ,район Перово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1852»,42,2016-2017,797376043
Западный административный округ,район Дорогомилово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 710 им. Народного учителя СССР В.К. Жудова»,8,2016-2017,797376104
Западный административный округ,район Крылатское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1440»,68,2016-2017,797376184
Западный административный округ,район Кунцево,Общеобразовательное частное учреждение «Гимназия во имя апостола и евангелиста Иоанна Богослова»,7,2016-2017,797376231
Западный административный округ,Можайский район,Общеобразовательное частное учреждение Международная гимназия инновационного центра «Сколково»,5,2016-2017,797376290
Западный административный округ,район Внуково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 41 имени Григория Алексеевича Тарана»,116,2016-2017,797376354
Западный административный округ,район Проспект Вернадского,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1541»,60,2016-2017,797376431
Западный административный округ,район Тропарёво-Никулино,Государственное бюджетное общеобразовательное учреждение Московская школа на Юго-Западе № 1543,89,2016-2017,797376490
Западный административный округ,район Филёвский Парк,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1497»,69,2016-2017,797376560
Западный административный округ,район Фили-Давыдково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением отдельных предметов № 1248»,93,2016-2017,797376622
Западный административный округ,район Фили-Давыдково,Федеральное государственное бюджетное образовательное учреждение «Средняя общеобразовательная школа № 1699» Управления делами Президента Российской Федерации,22,2016-2017,797376711
Зеленоградский административный округ,район Крюково,Государственное бюджетное образовательное учреждение города Москвы «Школа № 1739»,66,2016-2017,797376786
Зеленоградский административный округ,район Матушкино,Некоммерческое партнерство Международная школа «Глобус»,3,2016-2017,797376856
Зеленоградский административный округ,район Савёлки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1557»,162,2016-2017,797376926
Зеленоградский административный округ,район Савёлки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 854»,43,2016-2017,797376997
Зеленоградский административный округ,район Силино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 852»,45,2016-2017,797377090
Северный административный округ,район Аэропорт,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 152»,98,2016-2017,797377163
Северный административный округ,район Аэропорт,Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 2»,4,2016-2017,797377253
Северный административный округ,район Беговой,Государственное бюджетное общеобразовательное учреждение города Москвы «Кадетская школа № 1784 имени генерала армии В.А. Матросова»,7,2016-2017,797377324
Северный административный округ,Бескудниковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 183»,82,2016-2017,797377359
Северный административный округ,Войковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 90 «Многопрофильный образовательный комплекс» имени Героя Советского Союза Е.Г. Ларикова»,25,2016-2017,797377430
Северный административный округ,район Коптево,Государственное бюджетное образовательное учреждение города Москвы «Центр образования» школа здоровья» № 1679»,41,2016-2017,797377495
Северный административный округ,район Коптево,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Политехнический колледж им. Н.Н. Годовикова»,24,2016-2017,797377574
Северный административный округ,район Сокол,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1384 имени А.А. Леманского»,33,2016-2017,797377665
Северный административный округ,Тимирязевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1454 «Тимирязевская»,116,2016-2017,797377724
Северный административный округ,Тимирязевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 216»,23,2016-2017,797377786
Северный административный округ,Савёловский район,Частное учреждение общеобразовательная организация «Петровская школа»,8,2016-2017,797377847
Северный административный округ,Хорошёвский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1287»,59,2016-2017,797377912
Северный административный округ,Хорошёвский район,Частное учреждение общеобразовательная организация «Международная школа углубленного изучения иностранных языков»,5,2016-2017,797377964
Северо-Восточный административный округ,Алексеевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа-интернат № 1 для обучения и реабилитации слепых» Департамента труда и социальной защиты населения города Москвы,0,2016-2017,797378022
Северо-Восточный административный округ,Бабушкинский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 281»,51,2016-2017,797378097
Северо-Восточный административный округ,район Лианозово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1573»,114,2016-2017,797378160
Северо-Восточный административный округ,район Марфино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1494»,112,2016-2017,797378219
Северо-Восточный административный округ,Останкинский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1415»,53,2016-2017,797378300
Северо-Восточный административный округ,район Северный,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2044»,24,2016-2017,797378370
Северо-Восточный административный округ,район Южное Медведково,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1482,46,2016-2017,797378420
Северо-Западный административный округ,район Покровское-Стрешнево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1285»,120,2016-2017,797378495
Северо-Западный административный округ,район Северное Тушино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1399»,67,2016-2017,797378565
Северо-Западный административный округ,район Строгино,Частное учреждение средняя общеобразовательная школа «Семейный лад»,5,2016-2017,797378640
Северо-Западный административный округ,район Щукино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1210»,79,2016-2017,797378662
Новомосковский административный округ,поселение Внуковское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1788»,68,2016-2017,797378715
Новомосковский административный округ,поселение Марушкинское,Негосударственное образовательное частное учреждения средняя общеобразовательная школа «ПРЕМЬЕРСКИЙ лИЦЕЙ»,3,2016-2017,797378783
Троицкий административный округ,поселение Троицк,Государственное бюджетное образовательное учреждение города Москвы Троицкий реабилитационно-образовательный центр «Солнышко»,0,2016-2017,797378822
Центральный административный округ,район Арбат,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1234»,146,2016-2017,797378888
Центральный административный округ,Басманный район,Государственное казенное общеобразовательное учреждение города Москвы «Школа № 2124 «Центр развития и коррекции»,0,2016-2017,797378929
Центральный административный округ,Красносельский район,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж железнодорожного и городского транспорта»,2,2016-2017,797378983
Центральный административный округ,Мещанский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2054»,227,2016-2017,797379023
Центральный административный округ,Пресненский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2055 имени Героев Советского Союза Анатолия Живова и Юрия Костикова»,32,2016-2017,797379094
Центральный административный округ,Таганский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1270 «Вектор»,46,2016-2017,797379154
Центральный административный округ,Таганский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 480 им. В.В.Талалихина»,60,2016-2017,797379214
Центральный административный округ,район Хамовники,Государственное бюджетное общеобразовательное учреждение города Москвы «Пятьдесят седьмая школа»,170,2016-2017,797379267
Центральный административный округ,район Хамовники,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный лингвистический университет»,112,2016-2017,797379319
Юго-Восточный административный округ,район Кузьминки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1208 имени Героя Советского Союза М.С. Шумилова»,97,2016-2017,797379360
Юго-Восточный административный округ,район Лефортово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1321 «Ковчег»,11,2016-2017,797379424
Юго-Восточный административный округ,район Лефортово,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский музыкально-педагогический колледж»,13,2016-2017,797379487
Юго-Восточный административный округ,район Люблино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2092 имени И.Н.Кожедуба»,70,2016-2017,797379560
Восточный административный округ,район Богородское,Государственное казенное общеобразовательное учреждение города Москвы кадетская школа-интернат № 5 «Преображенский кадетский корпус»,73,2016-2017,797379659
Восточный административный округ,район Богородское,Некоммерческая организация частное учреждение средняя общеобразовательная школа «Ретро»,6,2016-2017,797379717
Восточный административный округ,район Вешняки,Государственное бюджетное общеобразовательное учреждение города Москвы «Вешняковская школа № 1389»,73,2016-2017,797379822
Восточный административный округ,район Вешняки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1512»,49,2016-2017,797379886
Восточный административный округ,район Гольяново,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1076»,8,2016-2017,797379956
Восточный административный округ,район Ивановское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 799»,86,2016-2017,797379996
Восточный административный округ,район Ивановское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1476»,51,2016-2017,797380053
Восточный административный округ,район Ивановское,Государственное бюджетное общеобразовательное учреждение города Москвы школа № 922,57,2016-2017,797380127
Восточный административный округ,район Измайлово,Частное учреждение средняя общеобразовательная школа «Кладезь»,2,2016-2017,797380183
Восточный административный округ,район Соколиная Гора,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1947»,25,2016-2017,797380234
Западный административный округ,район Кунцево,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж физической культуры и спорта «Спарта» Департамента физической культуры и спорта города Москвы,16,2016-2017,797380312
Западный административный округ,район Раменки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1434 «Раменки»,89,2016-2017,797380365
Западный административный округ,район Раменки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1586»,57,2016-2017,797380440
Западный административный округ,район Раменки,Государственное бюджетное общеобразовательное учреждение города Москвы «Шуваловская школа № 1448»,83,2016-2017,797380489
Западный административный округ,район Солнцево,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1002»,129,2016-2017,797380546
Западный административный округ,район Фили-Давыдково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 97»,77,2016-2017,797380611
Западный административный округ,район Фили-Давыдково,Общеобразовательная автономная некоммерческая организация «Классическое образование»,4,2016-2017,797380668
Западный административный округ,район Фили-Давыдково,Частное образовательное учреждение средняя общеобразовательная школа «Ломоносовская школа»,50,2016-2017,797380766
Зеленоградский административный округ,район Крюково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1194»,94,2016-2017,797380848
Зеленоградский административный округ,район Матушкино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1353 имени генерала Д.Ф. Алексеева»,69,2016-2017,797380913
Зеленоградский административный округ,район Матушкино,Некоммерческое негосударственное частное учреждение общеобразовательная организация средняя общеобразовательная школа «ГАРМОНИЯ»,6,2016-2017,797380984
Зеленоградский административный округ,район Силино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 718»,27,2016-2017,797381035
Зеленоградский административный округ,район Старое Крюково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1528» имени Героя Советского Союза И.В. Панфилова,115,2016-2017,797381136
Северный административный округ,район Беговой,Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 52»,0,2016-2017,797381225
Северный административный округ,район Беговой,Федеральное государственное казённое общеобразовательное учреждение «Московский кадетский корпус «Пансион воспитанниц Министерства обороны Российской Федерации»,107,2016-2017,797381323
Северный административный округ,Бескудниковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1592 имени героя Российской Федерации Е.Н.Чернышёва»,76,2016-2017,797381394
Северный административный округ,Войковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 744 имени Петра Николаевича Еремеева»,24,2016-2017,797381451
Северный административный округ,район Восточное Дегунино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1296»,91,2016-2017,797381536
Северный административный округ,район Восточное Дегунино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1678 «Восточное Дегунино»,38,2016-2017,797381673
Северный административный округ,Головинский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1583 имени К. А. Керимова»,126,2016-2017,797381751
Северный административный округ,Дмитровский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1631»,79,2016-2017,797381834
Северный административный округ,Дмитровский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 236 имени Героя Советского Союза Г. И. Щедрина»,107,2016-2017,797381902
Северный административный округ,Тимирязевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 218»,76,2016-2017,797381997
Северный административный округ,район Ховрино,Общеобразовательное частное учреждение «Православная классическая гимназия во имя иконы Божией Матери «Знамение» в Ховрине»,1,2016-2017,797382054
Северо-Восточный административный округ,Бутырский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1236 имени С.В. Милашенкова»,177,2016-2017,797382144
Северо-Восточный административный округ,район Отрадное,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 962»,191,2016-2017,797382230
Северо-Восточный административный округ,район Северное Медведково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 283»,97,2016-2017,797382315
Северо-Восточный административный округ,район Северное Медведково,Частное учреждение общеобразовательная организация школа «Уна»,14,2016-2017,797382369
Северо-Восточный административный округ,район Южное Медведково,Некоммерческое общеобразовательное частное учреждение школа «Разум-Л»,4,2016-2017,797382439
Северо-Восточный административный округ,Ярославский район,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж современных технологий имени Героя Советского Союза М.Ф. Панова»,0,2016-2017,797382483
Северо-Западный административный округ,район Куркино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1985»,72,2016-2017,797382531
Северо-Западный административный округ,район Митино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1538»,191,2016-2017,797382591
Северо-Западный административный округ,район Митино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1190»,24,2016-2017,797382647
Северо-Западный административный округ,район Митино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1944»,103,2016-2017,797382694
Северо-Западный административный округ,район Северное Тушино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 827»,100,2016-2017,797382731
Северо-Западный административный округ,район Строгино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 69 имени Б.Ш. Окуджавы»,36,2016-2017,797382779
Северо-Западный административный округ,район Строгино,Негосударственное образовательное частное учреждение «Православная гимназия в Троице-Лыкове г. Москвы»,4,2016-2017,797382836
Северо-Западный административный округ,район Хорошёво-Мнёвники,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1517»,229,2016-2017,797382917
Северо-Западный административный округ,район Южное Тушино,Негосударственное образовательное учреждение средняя общеобразовательная школа «Этикета и всестороннего развития»,2,2016-2017,797382984
Новомосковский административный округ,поселение Московский,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2065»,87,2016-2017,797383064
Новомосковский административный округ,поселение Щербинка,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2122»,30,2016-2017,797383158
Центральный административный округ,Басманный район,Государственное бюджетное общеобразовательное учреждение города Москвы «школа № 1247 имени Юргиса Балтрушайтиса»,23,2016-2017,797383228
Центральный административный округ,Басманный район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1621 Древо Жизни»,8,2016-2017,797383304
Центральный административный округ,Басманный район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 345 имени А.С. Пушкина»,58,2016-2017,797383389
Центральный административный округ,район Замоскворечье,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1259»,75,2016-2017,797383427
Центральный административный округ,Красносельский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Пушкинская школа № 1500»,85,2016-2017,797383480
Центральный административный округ,Красносельский район,Образовательное частное учреждение «Общеобразовательная организация «Школа «Современное образование»,13,2016-2017,797383546
Центральный административный округ,Пресненский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением предметов художественно-эстетического цикла средствами театрального искусства № 123»,18,2016-2017,797383588
Центральный административный округ,Пресненский район,Государственное бюджетное профессиональное образовательное учреждение г.Москвы «Государственное училище (колледж) духового искусства,10,2016-2017,797383648
Центральный административный округ,Таганский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 498»,166,2016-2017,797383728
Центральный административный округ,Таганский район,Государственное казенное образовательное учреждение города Москвы «Кадетская школа № 1785 «Таганский кадетский корпус»,8,2016-2017,797383818
Юго-Восточный административный округ,район Выхино-Жулебино,Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1793 «Жулебино»,124,2016-2017,797383877
Юго-Восточный административный округ,район Выхино-Жулебино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1359 имени авиаконструктора М.Л. Миля»,171,2016-2017,797383971
Северный административный округ,район Ховрино,федеральное государственное бюджетное образовательное учреждение высшего образования «Российский экономический университет имени Г.В. Плеханова»,45,2016-2017,797384062
Северо-Восточный административный округ,Алексеевский район,гимназия федерального государственного бюджетного образовательного учреждения высшего образования «Российский университет транспорта (МИИТ)»,46,2016-2017,797384131
Северо-Восточный административный округ,Алтуфьевский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 305»,40,2016-2017,797384186
Северо-Восточный административный округ,Бабушкинский район,Федеральное государственное казенное образовательное учреждение «Московское суворовское военное училище Министерства обороны Российской федерации»,58,2016-2017,797384269
