AdmArea,District,EDU_NAME,OGE_SCORE,YEAR,global_id
Западный административный округ,район Дорогомилово,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 56 имени академика В.А. Легасова»,65,2016-2017,797366436
Западный административный округ,район Крылатское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1471»,20,2016-2017,797366497
Западный административный округ,район Крылатское,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 63»,51,2016-2017,797366565
Западный административный округ,Можайский район,Общеобразовательное частное учреждение средняя общеобразовательная школа «Центр ЮССТ»,2,2016-2017,797366647
Западный административный округ,район Проспект Вернадского,Государственное бюджетное общеобразовательное учреждение города Москвы «Центр спорта и образования «Олимп» Департамента физической культуры и спорта города Москвы,18,2016-2017,797366727
Западный административный округ,район Раменки,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 37»,53,2016-2017,797366766
Западный административный округ,район Тропарёво-Никулино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1329»,122,2016-2017,797366812
Западный административный округ,район Тропарёво-Никулино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 875»,71,2016-2017,797366867
Западный административный округ,район Тропарёво-Никулино,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа на проспекте Вернадского»,99,2016-2017,797366935
Западный административный округ,район Фили-Давыдково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1589»,26,2016-2017,797366980
Западный административный округ,район Фили-Давыдково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2101 «Филёвский образовательный центр»,93,2016-2017,797367044
Зеленоградский административный округ,район Крюково,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2045»,98,2016-2017,797367111
Северный административный округ,Бескудниковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1383»,51,2016-2017,797367168
Северный административный округ,Войковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских»,56,2016-2017,797367225
Северный административный округ,Войковский район,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 224»,44,2016-2017,797367310
