ID,EDU_NAME,global_id,YEAR,AdmArea,District,PASSES_OVER_220,PASSER_UNDER_160
13065,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1501»,2603023783,2022-2023,Центральный административный округ,Тверской район,212,320
13066,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1799»,2603023786,2022-2023,Центральный административный округ,район Якиманка,110,190
13067,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1547»,2603023787,2022-2023,Юго-Восточный административный округ,район Марьино,163,263
13068,Государственное автономное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс имени Виктора Талалихина»,2603023788,2022-2023,Юго-Восточный административный округ,район Печатники,2,6
13069,Частное учреждение общеобразовательная организация школа «Личность»,2603023789,2022-2023,Юго-Восточный административный округ,Рязанский район,16,39
13070,Общеобразовательное частное учреждение «Образовательный центр имени С.Н.Олехника»,2603023791,2022-2023,Юго-Восточный административный округ,район Текстильщики,0,6
13071,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 192»,2603023793,2022-2023,Юго-Западный административный округ,Гагаринский район,63,94
13072,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1945 «Синяя птица»,2603023794,2022-2023,Юго-Западный административный округ,район Северное Бутово,20,37
13073,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1205»,2603023796,2022-2023,Юго-Западный административный округ,район Черёмушки,47,72
13074,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1103 имени Героя Российской Федерации А.В. Соломатина»,2603023797,2022-2023,Юго-Западный административный округ,район Ясенево,31,69
13075,Негосударственное общеобразовательное частное учреждение «Православная классическая гимназия «Радонеж»,2603023798,2022-2023,Юго-Западный административный округ,район Ясенево,7,7
13076,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 902 «Диалог»,2603023799,2022-2023,Южный административный округ,район Бирюлёво Восточное,28,68
13077,Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2001»,2603023802,2022-2023,Южный административный округ,район Бирюлёво Западное,31,71
